scheduled_berlin,reel,caption,hashtags,status,posted_at
2026-06-21 18:00,reel-01.mp4,"Wachstum beginnt dort, wo die Bequemlichkeit endet.

Bequemlichkeit ist nicht dein Feind.

Sie ist nur der Ort an dem nichts Neues mehr passiert. Solange alles vertraut bleibt, bleibst auch du der der du gestern warst.

Jede echte Veränderung beginnt mit diesem kleinen Widerstand. Dem Moment kurz bevor du etwas tust das du eigentlich vermeiden wolltest.

Genau dieses Gefühl ist das Zeichen dass du dich bewegst.

Nicht die großen Sprünge formen dich. Sondern die vielen kleinen Male in denen du den bequemen Weg erkennst und trotzdem den anderen gehst.

Im FoundryClub sind ein paar Leute die am Gleichen arbeiten. Wenn du Lust auf echten Austausch hast, schau vorbei. Link in Bio.",#persönlichkeitsentwicklung #selbstdisziplin #wachstum #stoizismus #mindset,pending,
2026-06-22 07:30,reel-02.mp4,"Du wächst nicht an den Tagen die leicht waren, sondern an denen du fast aufgegeben hättest.

Die leichten Tage fühlen sich gut an, aber sie verändern dich nicht.

Was dich formt sind die Momente in denen du weitermachst, obwohl niemand es bemerkt hätte wenn du aufhörst.

Dort, an dieser einen Schwelle, entscheidet sich wer du wirst.

Niemand sieht diesen Moment. Aber du trägst ihn danach in dir.

Und beim nächsten Mal weißt du dass du ihn überstehen kannst.

Falls du jemanden zum Austauschen suchst, im FoundryClub findest du Gleichgesinnte. Link in Bio.",#selbstdisziplin #wachstum #disziplin #mindset #charakter,pending,
2026-06-22 19:30,reel-03.mp4,"Der Mensch wächst in der Stille, lange bevor man es an ihm sieht.

Echte Entwicklung ist leise.

Sie passiert in den Wochen in denen du arbeitest ohne ein Ergebnis zu sehen, in den Gedanken die du nachts mit dir allein ausmachst.

Von außen sieht es aus als würde nichts geschehen.

Und dann, irgendwann, sieht man es plötzlich. Nicht weil es plötzlich kam, sondern weil es lange genug im Stillen gewachsen ist.

Hab Geduld mit der Phase in der noch niemand etwas erkennt.

Im FoundryClub treffen sich Leute die ähnlich ticken. Komm vorbei wenn du magst. Link in Bio.",#persönlichkeitsentwicklung #stille #wachstum #achtsamkeit #gedanken,pending,
2026-06-23 12:30,reel-04.mp4,"Nichts verändert sich, solange du darauf wartest dass die Umstände es tun.

Es ist verlockend zu glauben dass der richtige Moment irgendwann von allein kommt.

Die ruhigere Woche, die bessere Stimmung, der Tag an dem alles passt.

Aber dieser Moment kommt selten, und wenn er kommt, hast du das Warten schon zur Gewohnheit gemacht.

Veränderung beginnt nicht wenn die Umstände stimmen. Sie beginnt wenn du dich entscheidest trotz ihnen anzufangen.

Der FoundryClub ist noch klein, aber genau dafür da. Wenn du Anschluss suchst, schau rein. Link in Bio.",#veränderung #selbstdisziplin #mindset #fokus #persönlichkeitsentwicklung,pending,
2026-06-23 19:30,reel-05.mp4,"Wer sich nie verändern will, nennt seinen Stillstand gern Treue zu sich selbst.

Es klingt edel, sich treu zu bleiben.

Aber manchmal ist es nur die Angst, das Vertraute loszulassen, in schöne Worte verpackt.

Sich treu bleiben heißt nicht, derselbe zu bleiben. Es heißt, dem zu folgen was in dir wachsen will.

Der Mensch der du sein könntest ist dir genauso treu wie der den du heute kennst.

Im FoundryClub sind ein paar Leute die am Gleichen arbeiten. Wenn du Lust auf echten Austausch hast, schau vorbei. Link in Bio.",#veränderung #selbstreflexion #charakter #mindset #gedanken,pending,
2026-06-24 12:00,reel-06.mp4,"Veränderung fühlt sich am Anfang wie Verlust an. Erst später erkennt man sie als Anfang.

Wenn du etwas Altes loslässt, spürst du zuerst nur die Lücke.

Die alte Gewohnheit, der alte Kreis, die alte Version von dir, sie fehlen, und das tut weh.

In diesem Moment denkst du oft, es war ein Fehler.

Aber eine Lücke ist kein Verlust. Sie ist der Platz den etwas Neues braucht um zu entstehen.

Gib dem Neuen die Zeit die das Alte hatte.

Falls du jemanden zum Austauschen suchst, im FoundryClub findest du Gleichgesinnte. Link in Bio.",#veränderung #wachstum #achtsamkeit #mindset #stoizismus,pending,
2026-06-24 20:00,reel-07.mp4,"Weisheit ist nicht zu wissen was zu tun ist, sondern auszuhalten dass man es noch nicht weiß.

Wir wollen schnelle Antworten.

Unsicherheit fühlt sich unangenehm an, also greifen wir nach der erstbesten Erklärung, nur um sie loszuwerden.

Aber die besten Entscheidungen entstehen selten unter diesem Druck.

Manchmal ist das Klügste, die Frage offen zu lassen, bis die Antwort von selbst klarer wird.

Wer Unsicherheit aushalten kann, trifft am Ende die ruhigeren Entscheidungen.

Im FoundryClub treffen sich Leute die ähnlich ticken. Komm vorbei wenn du magst. Link in Bio.",#weisheit #stoizismus #achtsamkeit #gedanken #selbstreflexion,pending,
2026-06-25 09:00,reel-08.mp4,"Die meisten Antworten die du suchst brauchen nur mehr Stille als du dir gerade erlaubst.

Du kennst die meisten Antworten schon.

Sie gehen nur unter, im Lärm, in den Meinungen anderer, in der ständigen Ablenkung.

Stille ist kein Nichts. Sie ist der Raum in dem du dich selbst wieder hören kannst.

Gib dir öfter ein paar Minuten ohne Reiz, ohne Bildschirm, ohne Geräusch.

Du wirst überrascht sein wie viel du eigentlich schon weißt.

Der FoundryClub ist noch klein, aber genau dafür da. Wenn du Anschluss suchst, schau rein. Link in Bio.",#stille #achtsamkeit #weisheit #gedanken #persönlichkeitsentwicklung,pending,
2026-06-25 19:00,reel-09.mp4,"Nicht jeder der älter wird, wird auch tiefer.

Zeit allein macht niemanden weiser.

Man kann zwanzig Jahre dieselbe Erfahrung wiederholen und glauben, man hätte zwanzig Jahre Erfahrung.

Tiefe entsteht nicht durch das Vergehen der Jahre, sondern durch das ehrliche Nachdenken über das was man erlebt hat.

Wer sich selbst hinterfragt, wächst. Wer nur älter wird, bleibt.

Im FoundryClub sind ein paar Leute die am Gleichen arbeiten. Wenn du Lust auf echten Austausch hast, schau vorbei. Link in Bio.",#weisheit #selbstreflexion #charakter #gedanken #persönlichkeitsentwicklung,pending,
2026-06-26 08:00,reel-10.mp4,"Der Kluge sucht die Antwort. Der Weise sucht die richtige Frage.

Eine falsche Frage führt selbst mit der besten Antwort in die Irre.

Oft stecken wir nicht fest weil uns die Lösung fehlt, sondern weil wir das falsche Problem lösen wollen.

Bevor du nach dem Wie suchst, frag dich ob das Was überhaupt stimmt.

Die richtige Frage spart dir manchmal Jahre.

Falls du jemanden zum Austauschen suchst, im FoundryClub findest du Gleichgesinnte. Link in Bio.",#weisheit #mindset #fokus #gedanken #stoizismus,pending,
2026-06-26 17:30,reel-11.mp4,"Alles Große wurde von jemandem begonnen der nicht wusste ob es gelingt.

Niemand der etwas aufgebaut hat, hatte am Anfang die Gewissheit dass es klappt.

Sie haben angefangen, mitten in der Unsicherheit, ohne Garantie.

Das ist der eigentliche Unterschied. Nicht Talent, nicht Glück, sondern der Mut zu beginnen bevor alles sicher ist.

Wenn du auf Gewissheit wartest, wartest du für immer.

Fang an, solange du noch zweifelst. Genau so haben es alle gemacht.

Im FoundryClub treffen sich Leute die ähnlich ticken. Komm vorbei wenn du magst. Link in Bio.",#persönlichkeitsentwicklung #selbstdisziplin #mindset #fokus #wachstum,pending,
2026-06-27 09:30,reel-12.mp4,"Du baust dein Leben nicht an den großen Tagen, sondern in den unscheinbaren Stunden die niemand sieht.

Die großen Momente bekommen die Aufmerksamkeit.

Aber sie sind nur das Ergebnis von hunderten kleiner Stunden die niemand bemerkt hat.

Der frühe Morgen, die Wiederholung, die Arbeit an einem Tag an dem du keine Lust hattest.

Dort entsteht alles. Leise, unspektakulär, ohne Applaus.

Unterschätze diese Stunden nicht. Sie sind das eigentliche Fundament.

Der FoundryClub ist noch klein, aber genau dafür da. Wenn du Anschluss suchst, schau rein. Link in Bio.",#selbstdisziplin #disziplin #fokus #mindset #wachstum,pending,
2026-06-27 18:30,reel-13.mp4,"Was du heute im Stillen aufbaust, wird eines Tages für dich sprechen.

Du musst dich nicht erklären, solange du arbeitest.

Lass andere reden. Bau weiter.

Das was du heute schaffst, ohne es zu zeigen, ohne es zu beweisen, wird irgendwann sichtbar.

Und dann braucht es keine Worte mehr.

Ergebnisse sind die leiseste und zugleich stärkste Sprache die es gibt.

Im FoundryClub sind ein paar Leute die am Gleichen arbeiten. Wenn du Lust auf echten Austausch hast, schau vorbei. Link in Bio.",#selbstdisziplin #fokus #stille #mindset #persönlichkeitsentwicklung,pending,
2026-06-28 10:30,reel-14.mp4,"Ein Fundament sieht niemand. Und doch trägt es alles.

Das Wichtigste in deinem Leben ist meistens unsichtbar.

Deine Disziplin, deine Werte, die Gewohnheiten die dich tragen, niemand sieht sie direkt.

Man sieht nur was darauf steht.

Deshalb ist es so leicht, das Fundament zu vernachlässigen und sich am Sichtbaren zu orientieren.

Aber alles was du oben aufbaust ist nur so stabil wie das was unten trägt.

Kümmere dich um das was niemand sieht.

Falls du jemanden zum Austauschen suchst, im FoundryClub findest du Gleichgesinnte. Link in Bio.",#charakter #selbstdisziplin #disziplin #mindset #stoizismus,pending,
